"question_id","question","short_answer","answer_reasoning","pubmed_text","pubmed_id"
"q00000001","In the induction assessment described, what was the magnitude of rifampin’s effect on deferasirox plasma exposure (AUC) after coadministration?","Rifampin reduced deferasirox plasma AUC by 44%.","The passage states that single-dose deferasirox pharmacokinetics were measured with and without repeated-dose rifampin. It reports a “significant reduction (44%) in plasma exposure (AUC) to deferasirox” after rifampin, quantifying the interaction.","Deferasirox, a newly developed iron chelator, was coadministered orally with either a known inducer of drug metabolism or with cosubstrates for cytochrome P450 (CYP) to characterize the potential for drug-drug interactions. In the induction assessment, single-dose deferasirox pharmacokinetics were obtained in the presence and absence of a repeated-dose regimen of rifampin. In the CYP3A interaction evaluation, midazolam and its active hydroxylated metabolite were assessed after single doses of midazolam in the presence and absence of steady-state concentrations of deferasirox. To test for interaction at the level of CPY2C8, single-dose repaglinide pharmacokinetics/pharmacodynamics were determined with and without repeated-dose administration of deferasirox. After rifampin, a significant reduction (44%) in plasma exposure (AUC) to deferasirox was observed. Upon coadministration of midazolam, there was a modest reduction of up to 22% in midazolam exposure (AUC, C(max)), suggesting a modest induction of CYP3A4/5 by deferasirox. Def erasirox caused increases in repaglinide plasma C(max) and AUC of 1.5-fold to over 2-fold, respectively, with little change in blood glucose measures. Specific patient prescribing recommendations were established when coadministering deferasirox with midazolam, repaglinide, and rifampin. These recommendations may also apply to other substrates of CYP3A4/5 and CYP2C8 or potent inducers of glucuronidation.
Adult
Anesthetics, Intravenous
Aryl Hydrocarbon Hydroxylases
Benzoates
Carbamates
Cross-Over Studies
Cytochrome P-450 CYP2C8
Cytochrome P-450 CYP3A
Deferasirox
Drug Interactions
Enzyme Inhibitors
Female
Humans
Hypoglycemic Agents
Iron Chelating Agents
Male
Midazolam
Piperidines
Rifampin
Triazoles
","Target-19940232"
"q00000002","In rheumatoid arthritis, which enzyme does leflunomide inhibit to arrest activated lymphocyte growth, and which specific nucleotide precursor’s production is disrupted as a result?","Leflunomide inhibits dihydroorotate dehydrogenase, disrupting uridine monophosphate production.","The passage states leflunomide arrests activated lymphocyte growth by inhibiting dihydroorotate dehydrogenase. It further specifies this enzyme is a critical link in producing uridine monophosphate.","Rheumatoid arthritis (RA) is a chronic disease affecting 0.8% of the population. Nonsteroidal anti-inflammatory drugs reduce the pain and inflammation of RA and improve mobility but do not slow the progression of joint damage. Disease-modifying antirheumatic drugs (DMARDs), which limit potentially irreversible joint damage, may influence the course of disease progression. This review describes the recently approved DMARD leflunomide, an isoxazole-based immunomodulator. Unlike other DMARDs, leflunomide arrests the growth of activated lymphocytes by inhibiting the enzyme dihydroorotate dehydrogenase, a critical link in the production of uridine monophosphate. Leflunomide is rapidly metabolized to the active major metabolite A77 1726, which is responsible for the drug's pharmacologic activity. Leflunomide has exerted inhibitory activity in animal models of RA. Its clinical efficacy has been demonstrated in a number of controlled trials. In two multinational 52-week studies and two 24-week studies, all leflunomide-treated patients received an initial loading dose of 100 mg for 3 days, followed by 20 mg/d. The effects on the signs and symptoms of RA were evaluated using the American College of Rheumatology (ACR) 20 responder index, tender and swollen joint counts and scores, patients' and physician's global assessments, and pain intensity index. Erosions and joint-space narrowing were assessed by radiography. Compared with placebo, leflunomide significantly improved the signs and symptoms of RA (41%-64% improvement) by ACR 20 responder criteria (P < 0.001). Leflunomide, methotrexate, and sulfasalazine were equally effective in terms of symptom outcomes. In terms of retarding the progression of disease, leflunomide was significantly superior to placebo, with no consistent difference from methotrexate or sulfasalazine. In a trial using a combination of leflunomide and methotrexate therapy, 53% of patients were responders by ACR 20 criteria. Adverse effects in RA patients receiving leflunomide included diarrhea, elevated liver enzymes, alopecia, and rash. Additional adverse events occurring with a frequency >5% included allergic reaction, asthenia, abdominal pain, back pain, and hypertension, among others. Thus leflunomide may be used in selected RA patients (ie, those starting RA therapy for the first time or failing earlier DMARD therapy). However, the product labeling requires monthly monitoring of liver enzymes until stable concentrations are reached. Other labeled warnings include a risk of immunosuppression and an increased risk of fetal death or teratogenic effects in pregnant women. Methotrexate, which is also hepatotoxic, is usually the initial DMARD recommended for use in patients with aggressive RA.
Adjuvants, Immunologic
Administration, Oral
Arthritis, Rheumatoid
Humans
Isoxazoles
Leflunomide
Randomized Controlled Trials as Topic
Safety
Treatment Outcome
","Target-10890256"
"q00000003","In the randomized double-blind osteoarthritis trial, what were the primary and secondary end points regarding gastroduodenal ulcer incidence, and at which timepoints were ulcers assessed by endoscopy?","Primary: ulcer incidence at 12 weeks; secondary: ulcer incidence at 24 weeks. Endoscopy occurred at 6, 12, and 24 weeks (active treatment only).","The METHODS state ulceration was assessed endoscopically at 6 and 12 weeks and at 24 weeks for active treatment. It also specifies primary and secondary end points as ulcer incidence at 12 and 24 weeks, respectively.","OBJECTIVE: This randomized, double-blind study tested the hypothesis that rofecoxib, a drug that specifically inhibits cyclooxygenase 2, would cause fewer gastroduodenal ulcers than ibuprofen (in a multicenter trial), and its side effects would be equivalent to those of placebo (in a prespecified analysis combining the results with another trial of identical design).
METHODS: Seven hundred seventy-five patients with osteoarthritis were randomized to receive rofecoxib at a dosage of 25 mg or 50 mg once daily, ibuprofen 800 mg 3 times daily, or placebo. Gastroduodenal ulceration was assessed by endoscopy at 6, 12, and (for active treatment) 24 weeks. The primary and secondary end points were the incidence of gastroduodenal ulcers at 12 and 24 weeks, respectively.
RESULTS: Ulcers were significantly less common (P < 0.001) following treatment with rofecoxib (25 mg or 50 mg) than with ibuprofen after 12 weeks (5.3% and 8.8% versus 29.2%, respectively) or 24 weeks (9.9% and 12.4% versus 46.8%, respectively). In the combined analysis, the 12-week ulcer incidence with 25 mg rofecoxib (4.7%) and with placebo (7.3%) satisfied prespecified criteria for equivalence.
CONCLUSION: At 2-4 times the therapeutically effective dose, rofecoxib caused fewer endoscopically detected ulcers than did ibuprofen. Rofecoxib at a dose of 25 mg (the highest dose recommended for osteoarthritis) satisfied prespecified criteria for equivalence to placebo.
Cyclooxygenase Inhibitors
Double-Blind Method
Duodenal Ulcer
Duodenum
Enzyme Inhibitors
Gastric Mucosa
Humans
Ibuprofen
Incidence
Intestinal Mucosa
Lactones
Placebos
Sulfones
","Target-10693877"
"q00000004","What pharmacokinetic and physicochemical properties of loperamide are cited as the reasons it has minimal central nervous system effects despite structural similarity to opiate receptor agonists?","Low oral absorption and inability to cross the blood-brain barrier.","The passage notes loperamide is structurally similar to opiate receptor agonists, yet “has minimal central nervous system effects.” It explicitly attributes this to “low oral absorption and inability to cross the blood-brain barrier.”","Loperamide is an antidiarrheal medication approved for the control of diarrhea symptoms and is available without a prescription. Loperamide works by a number of different mechanisms of action that decrease peristalsis and fluid secretion, resulting in longer gastrointestinal transit time and increased absorption of fluids and electrolytes from the gastrointestinal tract. It is a phenylpiperidine derivative with a chemical structure similar to opiate receptor agonists such as diphenoxylate and haloperidol. It was designed to maintain the antidiarrheal activity of these drugs, but minimize the negative aspects associated with their effects on the opiate receptor. Because of loperamides's low oral absorption and inability to cross the blood-brain barrier, it has minimal central nervous system effects. It also has a longer duration of action than diphenoxylate. However, it has no clinically significant analgesic activity and does not decrease the pain associated with some forms of irritable bowel syndrome and diarrhea. Loperamide is metabolized by the cytochrome P450 (CYP) system and is a substrate for the CYP3A4 isoenzyme. Concurrent administration with CYP3A4 inhibitors may elevate loperamide concentrations. Common adverse reactions to loperamide include cramps and nausea. Loperamide is an effective treatment for patients with painless diarrhea and is considered to be free of abuse potential.
Animals
Antidiarrheals
Cytochrome P-450 CYP3A
Cytochrome P-450 Enzyme Inhibitors
Drug Interactions
Gastrointestinal Transit
Humans
Intestinal Absorption
Loperamide
Peristalsis
","Target-18192961"
"q00000005","In hormonally independent DU145 prostate cancer cells, which assays and molecular apoptosis marker were used to show that ritonavir potentiated docetaxel’s antiproliferative and proapoptotic effects in vitro?","Clonogenic soft agar assay and detection of activated caspase-3 (and cleavage products).","The passage states DU145 cells were cultured with docetaxel alone or with ritonavir to assess drug interaction. It reports ritonavir enhanced docetaxel’s antiproliferative/proapoptotic effects as measured by a clonogenic soft agar assay and detection of activated caspase-3 (and cleaved products).","We previously showed that HIV-1 protease inhibitors (PIs) slowed the proliferation of human myeloid leukemia cells and enhanced their differentiation in the presence of all-trans-retinoic acid. In this study, we found that PIs, including ritonavir, saquinavir, and indinavir, inhibited the growth of DU145 and PC-3 androgen-independent prostate cancer cells as measured by a clonal proliferation assay. Recent studies showed that ritonavir inhibited cytochrome P450 3A4 enzyme (CYP3A4) in liver microsomes. The CYP3A4 is involved in drug metabolism and acquisition of drug resistance. To clarify the drug interaction between ritonavir and other anticancer drugs, we cultured DU145 cells with docetaxel either alone or in combination with ritonavir. Ritonavir enhanced the antiproliferative and proapoptotic effects of docetaxel in the hormonally independent DU145 prostate cancer cells in vitro as measured by the clonogenic soft agar assay and detection of the activated form of caspase-3 and cleavage of poly(ADP-ribose) polymerase using Western blot analysis. Real-time PCR showed that docetaxel induced the expression of CYP3A4 at the transcriptional level, and ritonavir (10(-5) mol/L) completely blocked this induction. An ELISA-based assay also showed that ritonavir inhibited DNA binding activity of nuclear factor kappaB (NFkappaB) in DU145 cells, which is a contributor to drug resistance in cancer cells. Furthermore, combination treatment of docetaxel and ritonavir dramatically inhibited the growth of DU145 cells present as tumor xenografts in BNX nude mice compared with either drug alone. Importantly, docetaxel induced expression of CYP3A4 in DU145 xenografts, and ritonavir completely blocked this induction. Ritonavir also inhibited NFkappaB DNA binding activity in DU145 xenografts. Extensive histologic analyses of the liver, spleen, kidneys, bone marrow, skin, and subcutaneous fat pads from these mice showed no abnormalities. In summary, combination therapy of ritonavir and anticancer drugs holds promise for the treatment of individuals with advanced, drug resistant cancers.
Animals
Antineoplastic Combined Chemotherapy Protocols
Apoptosis
Cell Division
Cell Line, Tumor
Cytochrome P-450 CYP3A
Cytochrome P-450 Enzyme Inhibitors
Cytochrome P-450 Enzyme System
DNA, Neoplasm
Docetaxel
Drug Synergism
HIV Protease Inhibitors
HIV-1
Humans
Male
Mice
Mice, Nude
NF-kappa B
Neoplasms, Hormone-Dependent
Prostatic Neoplasms
RNA, Messenger
RNA, Small Interfering
Ritonavir
Taxoids
Xenograft Model Antitumor Assays
","Target-15492266"
"q00000006","How does meclizine differentially modulate CAR activity across species, and which CAR-regulated CYP genes does it inhibit when phenobarbital induces them in primary mouse hepatocytes?","Meclizine is an mCAR agonist but an hCAR inverse agonist; it inhibits phenobarbital-induced CYP2B10, CYP3A11, and CYP1A2 expression.","The passage states meclizine is “an agonist ligand for mCAR and an inverse agonist for hCAR,” reflecting species-specific CAR responses. It also notes meclizine “inhibits the phenobarbital-induced expression” of CAR target genes CYP2B10, CYP3A11, and CYP1A2 in primary mouse hepatocytes.","The constitutive androstane receptor (CAR, NR1I3) is a key regulator of xenobiotic and endobiotic metabolism. The ligand-binding domains of murine (m) and human (h) CAR are divergent relative to other nuclear hormone receptors, resulting in species-specific differences in xenobiotic responses. Here we identify the widely used antiemetic meclizine (Antivert; Bonine) as both an agonist ligand for mCAR and an inverse agonist for hCAR. Meclizine increases mCAR transactivation in a dose-dependent manner. Like the mCAR agonist 1,4-bis[2-(3,5-dichloropyridyloxy)]benzene, meclizine stimulates binding of steroid receptor coactivator 1 to the murine receptor in vitro. Meclizine administration to mice increases expression of CAR target genes in a CAR-dependent manner. In contrast, meclizine suppresses hCAR transactivation and inhibits the phenobarbital-induced expression of the CAR target genes, cytochrome p450 monooxygenase (CYP)2B10, CYP3A11, and CYP1A2, in primary hepatocytes derived from mice expressing hCAR, but not mCAR. The inhibitory effect of meclizine also suppresses acetaminophen-induced liver toxicity in humanized CAR mice. These results demonstrate that a single compound can induce opposite xenobiotic responses via orthologous receptors in rodents and humans.
Animals
Antiemetics
Cell Line, Tumor
Cells, Cultured
Hepatocytes
Humans
Meclizine
Mice
Mice, Knockout
RNA
Receptors, Cytoplasmic and Nuclear
Recombinant Proteins
Transcription Factors
Transfection
","Target-15272053"
"q00000007","In fluorescence anisotropy experiments using the carboxylate form of camptothecin (CPT-C) as a probe, what effect does adding a competing drug (e.g., warfarin or flurbiprofen) to plasma have on the albumin-dependent anisotropy response and the inferred CPT-C–HSA affinity constant?","It slows the anisotropy increase with rising HSA and decreases the computed CPT-C–HSA affinity constant.","The passage states that adding a competing drug “significant[ly] reduces the rate of increase of CPT-C fluorescence anisotropy with increase of albumin concentration.” It also notes that under these conditions “the affinity constant of CPT-C to HSA decreases,” indicating reduced apparent binding.","The determination of affinity of warfarin and flurbiprofen to human serum albumin (HSA) by fluorescence anisotropy measurements of carboxylate form of camptothecin (CPT-C) is the subject of this paper. A simple method based on measurements of fluorescence anisotropy of CPT-C allows to determine the affinity constant of CPT-C to HSA by computation of the fraction of bound CPT-C molecules with HSA It was observed, that adding of competing drug to plasma significant reduces the rate of increase of CPT-C fluorescence anisotropy with increase of albumin concentration and, the affinity constant of CPT-C to HSA decreases. The hypothesis of interactions between competing drug and CPT-C is presented. The results of these studies suggest that CPT-C displaces other drug from protein binding site and the degree of this displacement depends on concentration of drug and drug-HSA binding affinity. The presented in this paper biosystems research allows to estimate the affinity constant of warfarin and flurbiprofen. It was also confirmed that despite that most of drugs bind predominantly to Site I or Site II of HSA (only one of these sites is high-affinity site), at elevated concentrations, part of drug molecules can be bound to low-affinity site of HSA.
Binding, Competitive
Camptothecin
Fluorescence Polarization
Flurbiprofen
Humans
Protein Binding
Serum Albumin
Warfarin
","Target-18721856"
"q00000008","In the metoprolol pharmacogenetic study of uncomplicated hypertension, what dosing strategy (starting dose, dosing frequency, titration schedule, and maximum dose) was used before repeating 24-hour ambulatory blood pressure monitoring?","Metoprolol 50 mg twice daily, titrated weekly to response or up to 200 mg twice daily, then reassessed after ≥4 weeks at a stable dose.","The METHODS state patients “took 50 mg metoprolol twice daily with weekly titration to response or 200 mg twice daily.” After “a minimum of 4 weeks at stable dose,” 24-hour ambulatory BP monitoring was repeated.","OBJECTIVES: Marked interpatient variability exists in blood pressure response to beta-blocker monotherapy. We tested the hypothesis that 2 common polymorphisms in the gene for beta(1)-adrenergic receptor are associated with antihypertensive response to metoprolol in patients with uncomplicated hypertension.
METHODS: Forty hypertensive men and women aged 35 to 65 years were studied. Baseline studies included 24-hour ambulatory blood pressure monitoring. Patients took 50 mg metoprolol twice daily with weekly titration to response or 200 mg twice daily. After a minimum of 4 weeks at stable dose, treatment phase 24-hour ambulatory blood pressure monitoring was repeated. The codon 49 and 389 genotypes for beta(1)-adrenergic receptor were determined by polymerase chain reaction with restriction fragment length polymorphism. Multilinear regression was performed to determine the impact of genotype and other variables on blood pressure response to metoprolol.
RESULTS: Patients homozygous for Arg at codon 389 had a nearly 3-fold greater reduction in daytime diastolic blood pressure (-13.3% +/- 8.4% versus -4.5% +/- 8.2%, P =.0018) compared with those who carried the variant allele. The haplotype pair (diplotype) for beta(1)-adrenergic receptor was also a significant predictor of response, with patients having the Ser49Arg389/Ser49Arg389 diplotype demonstrating a decline in blood pressure of 14.7 mm Hg versus 0.5 mm Hg in patients with the Gly49Arg389/Ser49Gly389 diplotype. In multiregression analysis, baseline daytime diastolic blood pressure, codon 389 genotype, and codon 49 genotype were significant predictors of blood pressure after treatment.
CONCLUSIONS: Our data suggest that beta(1)-adrenergic receptor polymorphisms are important determinants of antihypertensive response to metoprolol. In the future, codon 49 and 389 genotypes or beta(1)-adrenergic receptor haplotypes might be used to predict the diastolic blood pressure response to metoprolol in patients with hypertension.
Adrenergic beta-1 Receptor Antagonists
Adult
Aged
Antihypertensive Agents
Female
Gene Frequency
Genotype
Humans
Hypertension
Linear Models
Male
Metoprolol
Middle Aged
Polymorphism, Genetic
Receptors, Adrenergic, beta-1
","Target-12844134"
"q00000009","Which cytochrome P450 isoenzymes are responsible for irbesartan metabolism, and what magnitude of change in irbesartan steady-state Cmax and AUC is reported with fluconazole coadministration?","Irbesartan is metabolized mainly by CYP2C9 (negligibly CYP3A4); fluconazole increases steady-state Cmax by 19% and AUC by 63%.","The passage states irbesartan undergoes metabolism via CYP2C9 with negligible CYP3A4 involvement. It also reports fluconazole increased irbesartan steady-state peak plasma concentration by 19% and AUC by 63%.","Irbesartan is an angiotensin II receptor antagonist indicated for the treatment of patients with hypertension. Although irbesartan does not require biotransformation for its pharmacological activity, it does undergo metabolism via the cytochrome P450 (CYP) 2C9 isoenzyme and negligible metabolism by the CYP3A4 isoenzyme. The long term treatment of patients with hypertension is generally required for effective management of the disease, and the use of concurrent medications is usually inevitable. This paper reviews the drug and food interaction trials involving irbesartan that have been conducted to date. Based on the available literature, no significant interactions have been identified between irbesartan and hydrochlorothiazide, nifedipine, simvastatin, tolbutamide, warfarin, magnesium and aluminum hydroxides, digoxin or food. Fluconazole did increase the steady-state peak plasma concentration (by 19%) and area under the concentration-time curve (by 63%) of irbesartan, but these increases are not likely to be clinically significant. In summary, irbesartan has demonstrated minimal potential for drug or food interactions in trials conducted to date.
Antihypertensive Agents
Area Under Curve
Biphenyl Compounds
Drug Interactions
Food
Half-Life
Humans
Hypertension
Intestinal Absorption
Irbesartan
Randomized Controlled Trials as Topic
Tetrazoles
","Target-11523726"
"q00000010","In vitro, which cytochrome P450-linked probe activity correlated strongly (P < .01, r = 0.91) with mono-N-dealkylation of both disopyramide enantiomers across 11 human liver microsome preparations?","6β-hydroxylation of testosterone.","The passage reports significant correlations (P < .01, r = 0.91) between mono-N-dealkylation of both DP enantiomers and testosterone 6β-hydroxylation activity. This identifies the specific CYP-linked probe activity associated with DP enantiomer metabolism in microsomes.","To identify which cytochrome P-450 (CYP) isoform(s) are involved in the major pathway of disopyramide (DP) enantiomers metabolism in humans, the in vitro formation of mono-N-desalkyldisopyramide from each DP enantiomer was studied with human liver microsomes and nine recombinant human CYPs. Substrate inhibition showed that SKF 525A and troleandomycin potently suppressed the metabolism of both DP enantiomers with IC50 values for R(-)- and S(+)-DP of <7.3 and <18.9 microM, respectively. In contrast, only weak inhibitory effects (i.e., IC50 > 100 microM) were observed for five other representative CYP isoform substrates [i.e., phenacetin (CYP1A1/2), sparteine (CYP2D6), tolbutamide (CYP2C9), S-mephenytoin (CYP2C19), and p-nitrophenol (CYP2E1)]. Significant correlations (P <.01, r = 0.91) were found between the activities of 11 different human liver microsomes for mono-N-dealkylation of both DP enantiomers and that of 6beta-hydroxylation of testosterone. Conversely, no significant correlations were observed between the catalytic activities for DP enantiomers and those for the O-deethylation of phenacetin, 2-hydroxylation of desipramine, hydroxylation of tolbutamide, and 4'-hydroxylation of S-mephenytoin. Further evidence for involvement of CYP3A P450s was revealed by an anti-human CYP3A serum that inhibited the mono-N-dealkylation of both DP enantiomers and 6beta-hydroxylation of testosterone almost completely (i.e., >90%), whereas it only weakly inhibited (i.e., <15%) CYP1A1/2- or 2C19-mediated reactions. Finally, the recombinant human CYP3A3 and 3A4 showed much greater catalytic activities than seven other isoforms examined (i.e., CYP1A2, 2A6, 2B6, 2C9, 2D6, 2E1, and 3A5) for both DP enantiomers. In conclusion, the metabolism of both DP enantiomers in humans would primarily be catalyzed by CYP3A4, implying that DP may have an interaction potential with other CYP3A substrates and/or inhibitors.
Aged
Alkylation
Anti-Arrhythmia Agents
Cytochrome P-450 CYP3A
Cytochrome P-450 Enzyme System
Disopyramide
Female
Humans
In Vitro Techniques
Male
Microsomes, Liver
Middle Aged
Mixed Function Oxygenases
Recombinant Proteins
Statistics as Topic
Stereoisomerism
Substrate Specificity
","Target-10901704"
