"question_id","question","short_answer","answer_reasoning","pubmed_text","pubmed_id"
"q00000026","Which volatile anesthetics have been previously reported to show enhanced effects due to specific amino acid residues in the TM2 region of recombinant GABAA receptors, and which two anesthetics were highlighted as the primary focus because prior evidence was limited?","Halothane, enflurane, and isoflurane were previously implicated; sevoflurane and desflurane were the main focus.","The background states TM2 residues are critical for enhancement of GABAA receptor function by halothane, enflurane, and isoflurane. It then notes little is known about sevoflurane and desflurane actions, motivating their examination.","BACKGROUND: Previous studies have shown that specific amino acid residues in the putative second transmembrane segment (TM2) of the gamma-aminobutyric acid receptor type A (GABAA) receptor play a critical role in the enhancement of GABAA receptor function by halothane, enflurane, and isoflurane. However, very little is known about the actions of sevoflurane and desflurane on recombinant GABAA receptors. The aim of this study was to examine the effects of sevoflurane and desflurane on potentiation of GABA-induced responses in the wild-type GABAA receptor and in receptors mutated in TM2 of the alpha1, alpha 2, or beta 2 subunits.
METHODS: GABAA receptor alpha 1 or alpha 2, beta 2 or beta 3, and gamma 2s subunit cDNAs were expressed for pharmacologic study by transfection of human embryonic kidney 293 cells and assayed using the whole cell voltage clamp technique. Concentration-response curves and EC50 values for agonist were determined in the wild-type alpha 1 beta 2 gamma 2s and alpha 2 beta 3 gamma 2s receptors, and in receptors harboring mutations in TM2, such as alpha1(S270W)beta 2 gamma 2s, alpha 1 beta 2(N265W)gamma 2s, and alpha2(S270I)beta 3 gamma 2s. The actions of clinically relevant concentration of volatile anesthetics (isoflurane, sevoflurane, and desflurane) on GABA activated Cl- currents were compared in the wild-type and mutant GABAA receptors.
RESULTS: Both sevoflurane and desflurane potentiated submaximal GABA currents in the wild-type GABAA alpha 1 beta 2 gamma 2s receptor and alpha 2 beta 3 gamma 2s receptor. Substitution of Ser270 in TM2 of the alpha subunit by a larger amino acid, tryptophan (W) or isoleucine (I), as in alpha1(S270W)beta 2 gamma 2s and alpha 2(S270I)beta 3 gamma 2s, completely abolished the potentiation of GABA-induced currents by these anesthetic agents. In contrast, mutation of Asn265 in TM2 of the beta subunit to tryptophan (W) did not prevent potentiation of GABA-induced responses. The actions of sevoflurane and desflurane in the wild-type receptor and in mutated receptors were qualitatively and quantitatively similar to those observed for isoflurane.
CONCLUSIONS: Positions Ser270 of the GABAA alpha1 and alpha2 subunits, but not Asn265 in the TM2 of the beta2 subunit, are critical for regulation of the GABAA receptor by sevoflurane and desflurane, as well as isoflurane, consistent with the idea that these three volatile anesthetics share a common site of actions on the alpha subunit of the GABAA receptor.
Amino Acid Sequence
Anesthetics, Inhalation
Cells, Cultured
DNA, Complementary
Desflurane
Electrophysiology
Humans
Isoflurane
Membrane Potentials
Methyl Ethers
Molecular Sequence Data
Mutagenesis, Site-Directed
Patch-Clamp Techniques
Receptors, GABA-A
Sevoflurane
Transfection
","Target-12960553"
"q00000018","Among methotrexate, folic acid, and leucovorin, which substrate has the greatest human MRP4-mediated transport capacity, and what is the corresponding Vmax value?","Leucovorin; Vmax = 1.95 ± 0.18 nmol/mg/min.","The passage states MRP4 actively transports MTX, FA, and leucovorin and provides their Vmax values. Among these, leucovorin has the largest Vmax (1.95 ± 0.18) compared with FA (0.68 ± 0.14) and MTX (0.24 ± 0.05). This identifies leucovorin as the highest-capacity substrate in the set.","Human MRP4 (ABCC4, MOAT-B) is a lipophilic anion transporter that is able to confer resistance to nucleotide analogues and methotrexate (MTX). We previously investigated the implications of the ability of MRP4 to confer resistance to nucleotide analogues and determined that the pump is competent in the MgATP-energized transport of cyclic nucleotides and estradiol 17beta-D-glucuronide. Here we examine the potential role of MRP4 in conferring resistance to MTX and related processes by determining the selectivity of the transporter for MTX, MTX polyglutamates, and physiological folates. In so doing, it is shown that MRP4 is active in the transport of MTX as well as the physiological folates folic acid (FA) and N(5)-formyltetrahydrofolic acid (leucovorin). MTX, FA, and leucovorin are subject to high capacity [V(max(MTX)), 0.24 +/- 0.05 nmol/mg/min; V(max (FA)), 0.68 +/- 0.14 nmol/mg/min; V(max(leucovorin)), 1.95 +/- 0.18 nmol/mg/min], low affinity [K(m(MTX)), 0.22 +/- 0.01 mM; K(m(FA)), 0.17 +/- 0.02 mM; K(m (leucovorin)), 0.64 +/- 0.23 mM] transport by MRP4. In addition, as would be expected were MRP4 a component of the MTX efflux system, its capacity to transport this agent is abrogated by the addition of a single glutamyl residue. It is also shown that glutamylation similarly affects the ability of MRP2 to transport MTX. On the basis of these transport properties, it is concluded that the efflux system for MTX includes MRP2 and MRP4, in addition to MRP1 and MRP3, and that MRP4 represents a common efflux system for both MTX and certain nucleotide analogues.
Animals
Antimetabolites, Antineoplastic
Baculoviridae
Carrier Proteins
Cell Line
Folate Receptors, GPI-Anchored
Folic Acid
Insecta
LLC-PK1 Cells
Liposomes
Methotrexate
Multidrug Resistance-Associated Proteins
Osmosis
Polyglutamic Acid
Receptors, Cell Surface
Swine
Transfection
","Target-12036927"
"q00000022","Which antibiotics are typically used in an in vitro serial broth–passage resistance-selection study with *Mycoplasma hominis* at subinhibitory concentrations, and which ribosomal gene or rRNA loci are PCR-amplified and sequenced to identify mutations in the resulting resistant mutants?","Subinhibitory broth passage used clindamycin, pristinamycin, quinupristin/dalfopristin, and telithromycin; sequencing targeted 23S rRNA plus L4 and L22 genes.","The METHODS state resistant mutants were selected by serial broth passages with subinhibitory clindamycin, pristinamycin, quinupristin/dalfopristin, and telithromycin. It also states mutants were characterized by PCR and DNA sequencing of 23S rRNA and ribosomal protein genes L4 and L22.","OBJECTIVES: Mycoplasma hominis is intrinsically resistant to 14- and 15-membered macrolides and to the ketolide telithromycin but is susceptible to josamycin, a 16-membered macrolide, and lincosamides. The aim of our study was to investigate the in vitro development of macrolide resistance in M. hominis and to study the impact of ribosomal mutations on MICs of various macrolides and related antibiotics.
METHODS: Selection of macrolide-resistant mutants was performed by serial passages of M. hominis PG21 in broth medium containing subinhibitory concentrations of clindamycin, pristinamycin, quinupristin/dalfopristin and telithromycin. Stepwise selection of josamycin-resistant mutants was performed onto agar medium containing increasing inhibitory concentrations of josamycin. Resistant mutants were characterized by PCR amplification and DNA sequencing of 23S rRNA, L4 and L22 ribosomal protein genes.
RESULTS: Various mutations in domain II or V of 23S rRNA were selected in the presence of each selector antibiotic and were associated with several resistance phenotypes. Josamycin was the sole antibiotic that selected for single amino acid changes in ribosomal proteins L4 and L22. Unexpectedly, the C2611U transition selected in the presence of clindamycin and the quinupristin/dalfopristin combination was associated with decreased MICs of erythromycin, azithromycin and telithromycin, leading to a loss of the intrinsic resistance of M. hominis to erythromycin and azithromycin.
CONCLUSIONS: Ribosomal mutations were associated with resistance to macrolides and related antibiotics in M. hominis. Some mutants showed a loss of the intrinsic resistance to erythromycin and azithromycin.
Anti-Bacterial Agents
Azithromycin
Base Sequence
Drug Resistance, Bacterial
Erythromycin
Humans
Microbial Sensitivity Tests
Molecular Sequence Data
Mutation
Mycoplasma hominis
RNA, Ribosomal, 23S
","Target-16464889"
"q00000032","How do monofunctional and difunctional DNA alkylation change as mitomycin C concentration increases, and which specific DNA lesion is associated with the difunctional alkylation mechanism?","Monofunctional alkylation rises ~in parallel with concentration; difunctional alkylation quickly plateaus and produces inter-strand DNA cross-links.","The passage states monofunctional alkylation increases almost in parallel with antibiotic concentration. In contrast, difunctional alkylation rapidly reaches a maximum and remains constant despite further concentration increases, and it is described as causing inter-strand DNA cross-linkages.","The in vitro formation and properties of the molecular complex between mitomycin C and native DNA were examined by means of various experimental methods; the data obtained indicate that the complex is extremely weak and that the chromophoric moiety of the antibiotic is not involved in its formation. The alkylating activity of mitomycin C was also studied using 3H-mitomycin C; while monofunctional alkylation increases almost in parallel with the concentration of the antibiotic, the difunctional alkylation, causing inter-strand cross-linkages in DNA, rapidly reaches a maximum and then remains constant even when increasing the concentration of the antibiotic and monofunctional alkylation. On the basis of these results, the currently accepted molecular model of the mitomycin--DNA interaction must be revised; a new model of this interaction is presented, which is in better agreement with the properties of mitomycin C and with the latest findings on the subject.
Alkylation
Chemical Phenomena
Chemistry, Physical
Chromatography, Gel
Circular Dichroism
DNA
Dialysis
Mitomycins
Spectrophotometry, Ultraviolet
","Target-744262"
"q00000010","In an in vitro study using human liver microsomes, which cytochrome P450 probe activity showed a strong correlation (P < 0.01, r = 0.91) with mono‑N‑dealkylation of both disopyramide enantiomers?","6β-hydroxylation of testosterone.","The passage reports significant correlations (P < .01, r = 0.91) between mono-N-dealkylation of both DP enantiomers and testosterone 6β-hydroxylation activity. This identifies the specific CYP-linked probe activity associated with DP enantiomer metabolism in microsomes.","To identify which cytochrome P-450 (CYP) isoform(s) are involved in the major pathway of disopyramide (DP) enantiomers metabolism in humans, the in vitro formation of mono-N-desalkyldisopyramide from each DP enantiomer was studied with human liver microsomes and nine recombinant human CYPs. Substrate inhibition showed that SKF 525A and troleandomycin potently suppressed the metabolism of both DP enantiomers with IC50 values for R(-)- and S(+)-DP of <7.3 and <18.9 microM, respectively. In contrast, only weak inhibitory effects (i.e., IC50 > 100 microM) were observed for five other representative CYP isoform substrates [i.e., phenacetin (CYP1A1/2), sparteine (CYP2D6), tolbutamide (CYP2C9), S-mephenytoin (CYP2C19), and p-nitrophenol (CYP2E1)]. Significant correlations (P <.01, r = 0.91) were found between the activities of 11 different human liver microsomes for mono-N-dealkylation of both DP enantiomers and that of 6beta-hydroxylation of testosterone. Conversely, no significant correlations were observed between the catalytic activities for DP enantiomers and those for the O-deethylation of phenacetin, 2-hydroxylation of desipramine, hydroxylation of tolbutamide, and 4'-hydroxylation of S-mephenytoin. Further evidence for involvement of CYP3A P450s was revealed by an anti-human CYP3A serum that inhibited the mono-N-dealkylation of both DP enantiomers and 6beta-hydroxylation of testosterone almost completely (i.e., >90%), whereas it only weakly inhibited (i.e., <15%) CYP1A1/2- or 2C19-mediated reactions. Finally, the recombinant human CYP3A3 and 3A4 showed much greater catalytic activities than seven other isoforms examined (i.e., CYP1A2, 2A6, 2B6, 2C9, 2D6, 2E1, and 3A5) for both DP enantiomers. In conclusion, the metabolism of both DP enantiomers in humans would primarily be catalyzed by CYP3A4, implying that DP may have an interaction potential with other CYP3A substrates and/or inhibitors.
Aged
Alkylation
Anti-Arrhythmia Agents
Cytochrome P-450 CYP3A
Cytochrome P-450 Enzyme System
Disopyramide
Female
Humans
In Vitro Techniques
Male
Microsomes, Liver
Middle Aged
Mixed Function Oxygenases
Recombinant Proteins
Statistics as Topic
Stereoisomerism
Substrate Specificity
","Target-10901704"
"q00000028","In a carrageenan-induced mechanical hyperalgesia model, which potassium channel subtype–selective blockers were found to dose-dependently reduce fentanyl-induced peripheral antinociception, and what dose ranges were evaluated for each blocker?","ATP-sensitive K⁺ channel blockers glibenclamide (40–160 µg/paw) and tolbutamide (80–240 µg/paw) dose-dependently antagonized fentanyl’s antinociception.","The passage states that fentanyl produced dose-dependent peripheral antinociception and that “selective blockers of ATP-sensitive K⁺ channels” antagonized fentanyl (1.5 µg/paw). It explicitly names glibenclamide and tolbutamide and provides their dose ranges (40–160 and 80–240 µg/paw, respectively).","We examined the effect of several K+ channel blockers such as glibenclamide, tolbutamide, charybdotoxin (ChTX), apamin, tetraethylammonium chloride (TEA), 4-aminopyridine (4-AP), and cesium on the ability of fentanyl, a clinically used selective micro-opioid receptor agonist, to promote peripheral antinociception. Antinociception was measured by the paw pressure test in male Wistar rats weighing 180-250 g (N = 5 animals per group). Carrageenan (250 microg/paw) decreased the threshold of responsiveness to noxious pressure (delta = 188.1 +/- 5.3 g). This mechanical hyperalgesia was reduced by fentanyl (0.5, 1.5 and 3 microg/paw) in a peripherally mediated and dose-dependent fashion (17.3, 45.3 and 62.6%, respectively). The selective blockers of ATP-sensitive K+ channels glibenclamide (40, 80 and 160 microg/paw) and tolbutamide (80, 160 and 240 microg/paw) dose dependently antagonized the antinociception induced by fentanyl (1.5 microg/paw). In contrast, the effect of fentanyl was unaffected by the large conductance Ca2+-activated K+ channel blocker ChTX (2 microg/paw), the small conductance Ca2+-activated K+ channel blocker apamin (10 microg/paw), or the non-specific K+ channel blocker TEA (150 microg/paw), 4-AP (50 microg/paw), and cesium (250 microg/paw). These results extend previously reported data on the peripheral analgesic effect of morphine and fentanyl, suggesting for the first time that the peripheral micro-opioid receptor-mediated antinociceptive effect of fentanyl depends on activation of ATP-sensitive, but not other, K+ channels.
Analgesia
Analgesics, Opioid
Animals
Carrageenan
Dose-Response Relationship, Drug
Fentanyl
Male
Pain
Pain Measurement
Potassium Channel Blockers
Potassium Channels
Potassium Channels, Calcium-Activated
Rats
Rats, Wistar
Receptors, Opioid, mu
","Target-15665994"
"q00000015","In healthy adults measured 2 hours after taking 1.5 g of acetaminophen, what are the mean (±SD) renal clearance ratios relative to creatinine for acetaminophen and its glucuronide and sulfate metabolites, and which of these has the highest ratio?","0.058±0.026, 0.890±0.153, and 1.43±0.250; acetaminophen sulfate was highest.","The passage reports renal clearance ratios (relative to creatinine) for acetaminophen, glucuronide, and sulfate as 0.058±0.026, 0.890±0.153, and 1.43±0.250, respectively. Comparing these values, sulfate has the largest ratio.","The renal clearances of acetaminophen, acetaminophen glucuronide, and acetaminophen sulfate were determined in eight healthy adults 2 h after administration of 1.5 g of acetaminophen. The renal clearance ratios (relative to creatinine) were 0.058 +/- 0.026, 0.890 +/- 0.153, and 1.43 +/- 0.250 (mean +/- SD), respectively. The renal clearance of acetaminophen increased with increasing urine flow rate, and that of acetaminophen sulfate decreased with increasing serum concentration of the conjugate. A strong positive correlation was found between the renal clearances of acetaminophen glucuronide and acetaminophen sulfate, possibly due to blood perfusion rate-dependent renal tubular secretion of the two conjugates. The serum protein binding of acetaminophen (congruent to 20%) and acetaminophen glucuronide (less than 10%) are minor. Acetaminophen sulfate is greater than 50% protein bound, as determined by equilibrium dialysis and ultrafiltration. The results of these studies are (a) consistent with previous reports of animal studies, indicating that renal excretion of acetaminophen involves glomerular filtration and passive reabsorption and that acetaminophen sulfate is subject to active renal tubular secretion, and (b) compatible with the reported occurrence of renal tubular secretion of acetaminophen glucuronide in animals.
Acetaminophen
Adult
Albumins
Blood Proteins
Creatinine
Female
Humans
Kidney
Male
Protein Binding
Ultrafiltration
","Target-6491906"
"q00000031","In a retrospective pilot pharmacogenetic study examining the PK–PD of indinavir with lamivudine and zidovudine, which genotype-defined subgroup had the greatest statistically significant increase in indinavir oral clearance, and what was the percentage increase compared with the reference genotype group?","CYP3A5 expressors; 44% faster indinavir oral clearance versus nonexpressors.","The Results state that genetically determined CYP3A5 expressors had 44% faster indinavir oral clearance than nonexpressors (P = 0.002). Another variant (MRP2-24C/T) increased clearance by 24% (P = 0.05), which is smaller. Therefore, CYP3A5 expressor status produced the largest significant increase.","OBJECTIVE: The aim of the study was to investigate relationships among indinavir, lamivudine-triphosphate, and zidovudine-triphosphate pharmacokinetics and pharmacodynamics with polymorphisms in CYP3A5, MDR1, MRP2, MRP4, BCRP, and UGT1A1 genes.
STUDY DESIGN: Retrospective pilot investigation among 33 subjects who participated in a randomized pharmacological study of indinavir, lamivudine, and zidovudine. Subjects were defined as genetic variant carriers or not. Relationships were investigated with multivariable regression. Indinavir clearance was adjusted for African American race; triphosphates for sex; and HIV-response for study arm, drug exposure, and baseline HIV-RNA.
RESULTS: Genetically determined CYP3A5 expressors had 44% faster indinavir oral clearance versus nonexpressors (P = 0.002). MRP2-24C/T variant carriers had 24% faster indinavir oral clearance (P = 0.05). Lamivudine-triphosphate concentrations were elevated 20% in MRP4 T4131G variant carriers (P = 0.004). A trend for elevated zidovudine-triphosphates was observed in MRP4 G3724A variant carriers (P = 0.06). The log10 changes in HIV-RNA from baseline to week 52 were -3.7 for MDR1 2677 TT, -3.2 for GT, and -2.2 for GG (P < 0.05). Bilirubin increases were 2-fold higher in UGT1A1 [TA]7/[TA]7 genotypes. No relationships were identified with BCRP.
DISCUSSION: Novel relationships were identified among genetic variants in drug transporters and indinavir, lamivudine-triphosphate, and zidovudine-triphosphate concentrations. CYP3A5 expression was associated with faster indinavir oral clearance. These pilot data provide a scientific basis for more rational utilization of antiretroviral drugs.
ATP Binding Cassette Transporter, Subfamily B, Member 1
Adult
African Continental Ancestry Group
Base Sequence
Cytochrome P-450 CYP3A
DNA Primers
Drug Therapy, Combination
Female
HIV Infections
Humans
Indinavir
Lamivudine
Male
Mitochondrial Proteins
Multidrug Resistance-Associated Proteins
Pharmacogenetics
Pilot Projects
Retrospective Studies
Ribosomal Proteins
Saccharomyces cerevisiae Proteins
Zidovudine
","Target-16791115"
"q00000016","Based on spectroscopic and computational findings, what is sertraline’s binding stoichiometry with human serum albumin (HSA), which main binding site does it preferentially occupy, and what key thermodynamic and interaction characteristics define this binding?","Sertraline forms a 1:1 complex binding in HSA subdomain IIA, with significant affinity, ΔH and ΔS negative, driven essentially by hydrophobic interactions.","The passage reports spectroscopic changes (UV-Vis, CD, FT-IR) and tryptophan fluorescence quenching upon SER–HSA interaction, supporting complex formation. It states a 1:1 complex and indicates binding to residues in subdomain IIA. Thermodynamic analysis showed negative entropy and enthalpy changes and emphasized the essential role of hydrophobic interactions.","Human serum albumin (HSA)-drug binding is an important factor to determine half life and bioavailability of drugs. In the present research, the interaction of sertraline (SER) to HSA was investigated using combination of spectroscopic and molecular modeling techniques. Changes in the UV-Vis, CD and FT-IR spectra as well as a significant degree of tryptophan fluorescence quenching were observed upon SER-HSA interaction. Data obtained by spectroscopic methods along with the computational studies suggest that SER binds to residues located in subdomain IIA of HSA. Analysis of spectroscopic data represented the formation of 1:1 complex, significant binding affinity, negative values of entropy and enthalpy changes and the essential role of hydrophobic interactions in binding of SER to HSA. The binding models were demonstrated in the aspects of SER's conformation, active site interactions, important amino acids and hydrogen bonding. Computational mapping of the possible binding site of SER confirmed that the ligand to be bound in a large hydrophobic cavity of HSA. In accordance with experimental data, computational analyses indicated that SER binding does not alter the secondary structure of the protein. The results not only lead to a better understanding of interaction between SER and HSA but also provide useful data about the influence of SER on the protein conformation. 
Circular Dichroism
Humans
Molecular Docking Simulation
Molecular Dynamics Simulation
Protein Binding
Protein Conformation
Sertraline
Serum Albumin
Spectrophotometry, Ultraviolet
Spectroscopy, Fourier Transform Infrared
","Target-26471709"
"q00000014","What is ranolazine’s established clinical indication, and what emerging electropharmacologic/antiarrhythmic uses— including the specific arrhythmia types—have been described?","Established for refractory angina; emerging for arrhythmias—studied in atrial fibrillation prevention/management, with ongoing studies in ventricular arrhythmias.","The passage states ranolazine utilization in refractory angina is established by multiple randomized clinical studies. It also notes growing evidence for an evolving role in cardiac arrhythmias, specifically that studies evaluated prevention/management of atrial fibrillation and ongoing studies in ventricular arrhythmias.","Ranolazine utilization in the management of refractory angina has been established by multiple randomized clinical studies. However, there is growing evidence showing an evolving role in the field of cardiac arrhythmias. Multiple experimental and clinical studies have evaluated the role of ranolazine in prevention and management of atrial fibrillation, with ongoing studies on its role in ventricular arrhythmias. In this review, we will discuss the pharmacological, experimental, and clinical evidence behind ranolazine use in the management of various cardiac arrhythmias. 
Action Potentials
Animals
Anti-Arrhythmia Agents
Arrhythmias, Cardiac
Heart Conduction System
Heart Rate
Humans
Kinetics
Ranolazine
Sodium Channel Blockers
Sodium Channels
Treatment Outcome
","Target-26459200"
